,Name,city,started_in,number_of_funding_rounds,funding_amount,industries,Founders,Number of employees,Number of investors
171,Avail Finance, Bengaluru,2017,5,41443027," Finance, FinTech, Mobile Payments"," Ankush Aggarwal, Tushar Mehndiratta", 51-100,8
172,Flock, Mumbai,2014,3,45000000," Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat", Bhavin Turakhia, 101-250,2
173,GlowRoad, Bengaluru,2017,4,31300000," E-Commerce, Retail, Social Shopping"," Kunal Sinha, Nilesh Padariya, Nitesh Pant, Shekhar Sahu, Sonal Verma", 51-100,7
174,HomeLane, Bengaluru,2014,9,63359735," Home Decor, Home Improvement, Interior Design, Internet"," Rama Harinath, Srikanth Iyer, Tanuj Choudhry, Vivek Parasuram", 501-1000,12
175,Wow! Momo, Kolkata,2008,5,37996690," Food and Beverage, Food Delivery, Food Processing"," Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman", 251-500,6
176,LetsTransport, Bengaluru,2015,8,24628092," Logistics, Transportation, Travel"," Ankit Parasher, Pushkar Singh, Sudarshan Ravi", 11-50,12
177,Digital Class E-Learning Marketplace, Ahmedabad,2017,1,3500000," B2B, B2C, E-Learning, EdTech, Marketplace"," Hitesh Mohkar, Tushar Dhakate", 11-50,19
178,RentoMojo, Bengaluru,2014,14,51443326," E-Commerce, Furniture, Internet, Rental"," Achal Mittal, Ajay Nain, Geetansh Bamania", 501-1000,5
179,SBI Life, Mumbai,2001,1,742000000," Financial Services, Health Care, Insurance"," Kapil Karekar, Richa Kar", 10001+,2
180,Zivame.com, Bengaluru,2011,8,69002120," E-Commerce, Fashion, Internet, Lingerie",Sbi life, 251-500,11
181,VerSe Innovation, Bengaluru,2007,20,434009213," Content, Internet, Social Media"," Umang Bedi, Virendra Gupta", 501-1000,22
182,CoinDCX, Mumbai,2017,3,5500000," Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform"," Neeraj Khandelwal, Sumit Gupta", 11-50,10
183,Country Delight, Sohna,2015,9,44247827," Agriculture, Delivery Service, Food and Beverage, Food Delivery"," Chakradhar Gade, Nitin Kaushal", 501-1000,6
184,BankBazaar.com, Chennai,2008,6,115000000," E-Commerce, Finance, FinTech, Insurance, Marketplace"," Adhil Shetty, Arjun Shetty, Rati Shetty", 1001-5000,16
185,Happay, Whitefield,2012,7,21556985," Financial Services, FinTech, SaaS, Software"," Anshul Rai, Varun Rathi", 251-500,8
186,Five Star Business Finance, Kilpauk,1984,7,456059601," Banking, Finance, Financial Services, Personal Finance", V K Ranganathan, 1001-5000,8
187,Goodera, Bengaluru,2014,3,17612830," Computer, Events, Software, Sustainability"," Abhishek Humbad, Richa Bajpai", 101-250,6
188,Simpl, Bengaluru,2015,3,26700000," E-Commerce, Financial Services, Lending, Payments"," Chaitra Chidanand, Nityanand Sharma", 101-250,5
189,F5 Refreshement, New Delhi,2018,2,621291, Food and Beverage," Lalit Aggarwal, Raghav Arora", 51-100,6
190,ShopClues, Gurgaon,2011,11,257002291," E-Commerce, Internet, Marketplace, Shopping"," Radhika Aggarwal, Sandeep Aggarwal, Sanjay Sethi", 1001-5000,12
191,Aknamed, Bengaluru,2018,1,7000000," Health Care, Hospital, Supply Chain Management"," Saurabh Pandey, Varun Vohra", 51-100,1
192,Droom, Haryana,2014,7,133000000," Automotive, B2B, E-Commerce, E-Commerce Platforms, Internet, Marketplace, News", Sandeep Aggarwal, 251-500,10
193,Box8, Mumbai,2012,9,32668662," Delivery, E-Commerce, Food and Beverage, Food Delivery"," Amit Raj, Anshul Gupta", 1001-5000,10
194,Cashkaro, Gurgaon,2013,4,14550000," Coupons, Customer Service, E-Commerce, Internet, Retail"," Rohan Bhargava, Swati Bhargava", 51-100,3
195,CropIn, Bengaluru,2010,10,32599576," Analytics, Artificial Intelligence, Farming, Forestry, Information and Communications Technology (ICT), Machine Learning, Predictive Analytics, SaaS, Satellite Communication, Software", Krishna Kumar, 101-250,12
196,Jupiter, Mumbai,2019,2,26000000," Banking, Consulting, Financial Services, Wealth Management", Jitendra Gupta, 11-50,7
197,ShopX, Bengaluru,2015,4,56417592," B2B, E-Commerce, Internet"," Amit Sharma, Apoorva Jois", 101-250,5
198,LocoNav, Azadpur,2015,3,7420000," Computer, Software, Software Engineering"," Shridhar Gupta, Vidit Jain", 101-250,3
199,Avataar.Me, Bengaluru,2016,1,7000000," 3D Technology, Augmented Reality, E-Commerce, Fashion, Mobile Apps, Software, Virtual Reality"," Gaurav Baid, Mayank Tiwari, Prashanth Aluru, Sravanth Aluru", 51-100,1
200,BluSmart Mobility, Ahmedabad,2019,5,17062939," Electric Vehicle, Mobile Apps, Ride Sharing"," Anmol Jaggi, Punit Goyal", 51-100,20
201,SleepyCat, Mumbai,2017,1,110000000, E-Commerce, Kabir Siddiq, 1-10,3
202,INDwealth, Gurgaon,2018,3,56891230," Artificial Intelligence, Financial Services, FinTech, Machine Learning, Personal Finance, Wealth Management"," Abhay Girnara, Amit Jain, Amrita Sirohia, Ashish Kashyap, Monika Dua, Pratiksha Dake", 101-250,4
203,Shipsy, Gurgaon,2015,4,7697983," Big Data, Internet of Things, Logistics, Machine Learning, Software, Supply Chain Management"," Dhruv Agrawal, Himanshu Gupta, Soham Chokshi", 101-250,8
204,Kissht, Mumbai,2015,6,49247312," Credit, Finance, Financial Services, FinTech, Lending, Sales Automation"," Karan Mehta, Krishnan Vishwanathan", 251-500,8
205,MedGenome, Bengaluru,2013,6,119000000," Biotechnology, Genetics, Health Care, Health Diagnostics, Medical"," Mahesh Pratapneni, Sam Santhosh", 251-500,12
206,Fabhotels, Gurgaon,2015,7,48598636," E-Commerce, Hospitality, Hotel, Travel Accommodations"," Adarsh Manpuria, Vaibhav Aggarwal", 51-100,9
207,Loadshare, Bengaluru,2017,7,21262496," Delivery Service, Industrial Automation, Logistics, Software, Supply Chain Management"," Pramod Nair, Raghuram Talluri, Rakib Ahmed, Tanmoy Karmakar", 11-50,9
208,Gradeup, Noida,2015,5,10020000," Education, Mobile, Online Portals"," Sanjeev Kumar, Shobhit Bhatnagar, Vibhu Bhushan", 501-1000,2
209,FreeCharge, Mumbai,2010,7,177639874," Coupons, E-Commerce, Internet, Payments"," Kunal Shah, Sandeep Tandon", 251-500,7
210,Healthkart, Gurgaon,2011,4,61000000," Dietary Supplements, E-Commerce, Fitness, Health Care, Retail, Wellness", Sameer Maheshwari, 251-500,8
211,Saveo, Bengaluru,2019,2,310000000," Fitness, Health Care, Wellness"," Cheolwon Lee, Jay Yi, Martin Lee", 101-250,24
212,True Balance, Gurgaon,2014,7,99640920," Apps, Financial Services, FinTech, Insurance, Mobile Payments, Personal Finance",Saveo, 51-100,17
213,Coverfox Insurance, Mumbai,2013,6,51250370," Auto Insurance, Health Insurance, Insurance, InsurTech, Life Insurance, Travel"," Devendra Rane, Varun Dua", 501-1000,13
214,EarlySalary, Pune,2015,7,33267529," Financial Services, FinTech, Personal Finance", Akshay Mehrotra, 101-250,6
215,Pitstop, Bengaluru,2015,5,9702517," Automotive, Service Industry"," Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak", 101-250,12
216,Wheels Eye, Gurgaon,2017,1,70000000," Information Services, Information Technology"," Anshul Mimani, Manish Somani", 1001-5000,1
217,Bira 91, New Delhi,2015,14,160465015," Brewing, Craft Beer, Food and Beverage, Wine And Spirits", Ankur Jain, 251-500,13
218,PlanetSpark, Gurgaon,2016,2,48000000," E-Learning, EdTech, Education"," Kunal Malik, Maneesh Dhooper", 1-10,4
219,LimeRoad, Gurgaon,2012,5,51944731," E-Commerce, Fashion, Internet, Shopping"," Ankush Mehra, Manish Saksena, Prashant Malik, Suchi Mukherjee", 251-500,6
220,Pratilipi, Bengaluru,2015,5,29833055," Audio, Comics, Digital Media, EBooks, Podcast, Publishing, Reading Apps"," Prashant Gupta, Rahul Ranjan, Ranjeet Pratap Singh, Sahradayi Modi, Sankaranarayanan Devarajan", 51-100,12
221,Freight Tiger, Mumbai,2014,1,550000000," Automotive, Logistics, Transportation", Swapnil Shah, 11-50,3
222,unlu, Gurgaon,2020,2,1284058," Celebrity, Internet, Media and Entertainment, Social Media"," Akshay Pruthi, Anurag Dalia, Himanshu Periwal, Vipul Agrawal", 11-50,4
223,KIMS Hospitals, Hyderabad,2000,3,139178803," Health Care, Hospital, Medical", Bhaskar Rao, 11-50,3
224,InterviewBit, Bengaluru,2015,2,21500000," E-Learning, Employment, Information Technology, Internet, Recruiting, Software"," Abhimanyu Saxena, Anshuman Singh", 101-250,4
225,Oye Rickshaw, Gurgaon,2017,3,13275120," Electric Vehicle, Last Mile Transportation, Public Transportation, Transportation"," Akash Deep, Mohit Sharma", 251-500,10
226,Arzooo.com, Bengaluru,2018,6,14800000," Consumer Electronics, Electronics, Retail, Retail Technology, Shopping"," Khushnud Khan, Rishi Raj Rathore", 251-500,11
227,Amber Group, Gurgaon,1990,1,1787100000," Consumer Electronics, Electronics, Home Services, Industrial Manufacturing, Machinery Manufacturing, Manufacturing", Kartar Singh, 51-100,9
228,Star Health and Allied Insurance, Nungambakkam,2006,3,173773498," Health Care, Health Insurance, Insurance", Times Internet, 1001-5000,6
229,Magicbricks, Noida,2006,1,300000000," Commercial Real Estate, Online Portals, Real Estate",Star Health and Allied, 1001-5000,1
230,Unbxd, Bengaluru,2011,7,14500000," Artificial Intelligence, Big Data, E-Commerce, Machine Learning, Navigation, Product Search, Search Engine, Software"," Pavan Sondur, Prashant Kumar", 101-250,13
231,LIDO, Mumbai,2019,2,10500000," E-Learning, EdTech, Education, Software", Sahil Sheth, 501-1000,8
232,Yulu, Bengaluru,2017,4,19900000," Electric Vehicle, Ride Sharing, Sharing Economy, Transportation"," Amit Gupta, Hemant Gupta, Naveen Dachuri, RK Misra", 101-250,7
233,Cashify, Gurgaon,2015,5,28000000," Consumer, Consumer Electronics, E-Commerce, Marketplace"," Amit Sethi, Mandeep Manocha, Nakul Kumar", 501-1000,9
234,Revv, Gurgaon,2015,3,23300000," Apps, Automotive, Rental"," Anupam Agarwal, Karan Jain", 101-250,10
235,UrbanPiper, Bengaluru,2015,3,10180783," Food and Beverage, Information Services, Information Technology, Software"," Anirban Majumdar, Devarshi Shah, Saurabh Gupta", 101-250,4
236,PropTiger, Gurgaon,2011,2,85000000," Intellectual Property, Marketing, Real Estate"," Dhruv Agarwala, Kartik Varma, Prashan Agarwal", 501-1000,3
237,Miko, Mumbai,2015,5,21540065," Artificial Intelligence, Consumer Electronics, EdTech, Hardware, Internet of Things, Machine Learning, Robotics"," Chintan Raikar, Prashant Iyengar, Sneh Vaswani", 101-250,9
238,HungerBox, Bengaluru,2015,8,44580231," B2B, Food and Beverage, Food Delivery"," Sandipan Mitra, Uttam Kumar", 251-500,10
239,OYO, Gurgaon,2012,17,3439351106," Hospitality, Hotel, Leisure, Reservations, Travel", Ritesh Agarwal, 10001+,23
240,Leap Finance, Bengaluru,2019,2,22500000," Credit Cards, Education, Financial Services, FinTech, Lending"," Arnav Kumar, Vaibhav Singh", 1-10,5
241,MedPlus, Hyderabad,2006,7,317695079," E-Commerce, Health Care, Pharmaceutical, Wellness", Madhukar Gangadi, 10001+,6
242,PiggyRide, Bengaluru,2019,2,110000000," Children, Education, Information Services, Information Technology, Transportation"," Manish Tewari, Rohan Kaushal", 11-50,8
243,Vernacular.ai, Bengaluru,2016,4,5100000," Artificial Intelligence, Call Center, Customer Service, Internet, Internet of Things, Machine Learning, Natural Language Processing, SaaS, Software, Speech Recognition"," Akshay Deshraj, Manoj Sarda, Sourabh Gupta", 51-100,7
244,ShareChat, Bengaluru,2015,10,824830000," Internet, Mobile Apps, Social Media, Social Network"," Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan", 501-1000,17
245,PhableCare, Bengaluru,2017,5,13670000," Health Care, Internet, Mobile Apps, Personal Health"," Mukesh Bansal, Prasanth Reddy, Sumit Sinha", 51-100,13
246,OZiva, Mumbai,2016,2,17000000," Dietary Supplements, Fitness, Health Care, Nutrition, Wellness"," Aarti Gill, Mihir Gadani", 51-100,4
247,Testbook.com, Mumbai,2013,5,12550000," E-Learning, EdTech, Education"," Abhishek Sagar, Ashutosh Kumar, Manoj Munna, Narendra Agrawal, Yadvendar Champawat", 101-250,10
248,Billdesk, Ahmedabad,2000,4,241361584," Finance, FinTech, Payments, Property Development, Rental", Ajay Kaushal, 251-500,7
249,Flatheads, Bengaluru,2019,2,725000," E-Commerce, Fashion, Retail, Shoes, Shopping"," Ganesh Balakrishnan, Utkarsh Biradar", 11-50,7
250,Signzy, Bengaluru,2015,6,12600000," Artificial Intelligence, Finance, Financial Services, FinTech, Risk Management, Software"," Ankit Ratan, Ankur Pandey, Arpit Ratan", 101-250,12
251,RAW Pressery, Mumbai,2014,12,41255467," Delivery, Food and Beverage, Food Processing, Organic Food", Anuj Rakyan, 101-250,7
252,WorkIndia, Mumbai,2015,3,6390562," Human Resources, Recruiting, Staffing Agency"," Ajay Kumar, Jatin Jakharia, Kshitij Nagvekar, Kunal Patil, Lokesh Tiwari, Moiz Arsiwala, Nilesh Dungarwal, Soumil Rao", 51-100,4
253,WebEngage, Mumbai,2011,7,6100000," Enterprise Software, Marketing Automation, Personalization, SaaS"," Ankit Utreja, Avlesh Singh", 101-250,8
254,Chumbak, Bengaluru,2009,6,26963740," E-Commerce, Lifestyle, Shopping", Subhra Chadda, 11-50,5
255,Mu Sigma, Bengaluru,2004,7,211350000," Analytics, Business Information Systems, Information Services, Information Technology, Software", DHIRAJ C RAJARAM, 1001-5000,4
256,Myelin Foundry, Bengaluru,2019,4,2001796," Artificial Intelligence, Health Care, Industrial, Information Services, Information Technology, Machine Learning, Media and Entertainment"," Aditi Olemann, Ganesh Suryanarayanan, Gopichand Katragadda", 11-50,5
257,JUSPAY, Kormangala,2012,2,27420684," FinTech, Internet, Mobile Payments, Payments"," Ramanathan RV, Vimal Kumar", 51-100,6
258,DaMENSCH, Bengaluru,2018,3,637500000," E-Commerce, Men's, Textiles", Shailendra Agarwal, 11-50,5
259,InstantPay, New Delhi,2013,1,340000000," E-Commerce, Electronics, Financial Exchanges, Financial Services, Mobile Payments, Payments, Transaction Processing",Damensch, 51-100,2
260,ITILITE, Bengaluru,2017,3,17271725," Business Travel, Information Technology, Internet"," Anish Khadiya, Mayank Kukreja", 101-250,4
261,Fyle, Bengaluru,2016,5,10361312," Accounting, Artificial Intelligence, Business Information Systems, Business Travel, Finance, FinTech, SaaS"," Sivaramakrishnan Narayanan, Yashwanth Madhusudan", 11-50,10
262,Trulymadly.com, New Delhi,2013,4,8923539," Apps, Dating, Internet"," Hitesh Dhingra, Rahul Kumar, Sachin Bhatia", 11-50,23
263,Quess Corp, Bengaluru,2007,1,26500000," Information Technology, Recruiting", Ajit Isaac, 10001+,4
264,FreshMenu, Bengaluru,2014,7,25837687," Delivery, Food and Beverage, Food Delivery, Food Processing", Rashmi Daga, 501-1000,8
265,NODWIN Gaming, Gurgaon,2012,1,1640000000," Events, Gaming, Internet, Social Media, Sports", Gautam Virk, 11-50,1
266,IDfy, Mumbai,2011,5,5168764," E-Commerce, FinTech, Fraud Detection, Information Services, Information Technology, Insurance, Internet, Machine Learning"," Ashok Hariharan, Hatim Baheranwala, Vineet Jawa", 101-250,8
267,Kinara Capital, Bengaluru,2011,8,70196840," Finance, Financial Services, FinTech, Lending, Micro Lending, Social Entrepreneurship", Hardika Shah, 251-500,10
268,Niki, Bengaluru,2015,10,6287653," Android, Natural Language Processing"," Keshav Prawasi, Nitin Babel, Sachin Jaiswal, Shishir Modi", 51-100,14
269,MyGate, Bengaluru,2016,3,67262961," Apps, Information Services, Information Technology, Mobile Apps"," Abhishek Kumar, Shreyans Daga, Vijay Arisetty", 501-1000,4
270,Neogrowth, Mumbai,2010,7,107798787," Business Development, Finance, Financial Services, Market Research"," Dhruv Khaitan, Piyush Khaitan", 101-250,9
271,Paytm Mall, Noida,2010,3,795000000," E-Commerce, E-Commerce Platforms, Internet, Marketplace, Retail, Shopping", Vijay Shekhar Sharma, 1001-5000,4
272,Hopscotch, Mumbai,2011,5,52800000," E-Commerce, Internet, Retail", Rahul Anand, 251-500,16
273,Setu, Bengaluru,2018,2,18549687, Financial Services, Sahil Kini, 11-50,4
274,Blue Tokai Coffee Roasters, Delhi,2012,3,5569257," Consumer Goods, Delivery, Food and Beverage, Food Processing"," Matt Chitharanjan, Namrata Asthana", 1-10,4
275,Avanse Financial Services, Mumbai,2012,3,60157500," Education, Finance, Real Estate, Service Industry", Amit Gainda, 251-500,2
276,Gaana, Noida,2011,3,166195349," Apps, Music, Music Streaming, Online Portals", Avinash Mudaliar, 251-500,3
277,LiquiLoans, Mumbai,2018,3,1784442, Financial Services," Achal Mittal, Gautam Adukia", 11-50,6
278,Clovia, Noida,2012,5,22685276," E-Commerce, Fashion, Lingerie, Retail, Women's"," Neha Kant, Pankaj Vermani, Suman Chowdhury", 251-500,7
279,Scripbox, Bengaluru,2012,4,23500000," Angel Investment, Finance, Financial Services, FinTech, Wealth Management"," Ashok Kumar, Atul Shinghal, Sanjiv Singhal", 101-250,12
280,RateGain, Noida,2004,1,50000000," Hospitality, Information Technology, Travel", Bhanu Chopra, 501-1000,1
281,Epigamia, Mumbai,2007,10,56286865," Consumer, Fast-Moving Consumer Goods, Food and Beverage, Health Care, Nutrition, Snack Food"," Ganesh Krishnamoorthy, Milap Shah, Rahul Jain, Rohan Mirchandani, Rohan Mirchandani, Uday Thakker", 101-250,8
282,MCaffeine, Mumbai,2015,4,5781631," Beauty, Consumer, Consumer Goods, E-Commerce, Lifestyle"," Tarun Sharma, Vikas Lachhwani", 11-50,7
283,Chaayos, New Delhi,2012,6,40833000," Food and Beverage, Food Delivery, Restaurants, Tea"," Nitin Saluja, Raghav Verma", 1001-5000,9
284,TVF, Mumbai,2015,3,20970000," Digital Entertainment, E-Commerce, Film, Internet, Media and Entertainment", Dhawal Gusain, 101-250,1
285,WOW Skin Science India Ltd, Bengaluru,2016,1,3730000000," Beauty, Consumer Goods, Cosmetics, Fashion", Nagaraj Mylandla, 1001-5000,1
286,Financial Software & Systems, Chennai,1991,4,129250000," Debit Cards, Financial Services, FinTech, Information Services, Information Technology, Mobile Payments, Payments, Software, Transaction Processing",Wow Skin,100,4
287,Ezetap, Bengaluru,2011,6,51000000," Mobile, Payments, Point of Sale, Software"," Abhijit Bose, Bala Parthasarathy, Bhaktha Keshavachar, Sanjay Swamy, Shripati Acharya", 101-250,8
288,Financepeer, Mumbai,2017,3,3709141," Financial Services, FinTech, Peer to Peer"," Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye", 11-50,9
289,Haptik, Mumbai,2013,2,12200000," Artificial Intelligence, Customer Service, Machine Learning, Messaging, Real Time, Software"," Aakrit Vaish, Swapan Rajdev", 101-250,3
290,GirnarSoft, Jaipur,2007,5,108650000," Developer Tools, Enterprise Software, Mobile, Software, Web Development"," Amit Jain, Anurag Jain", 501-1000,5
291,Meesho, Bengaluru,2015,9,515200000," E-Commerce, E-Commerce Platforms, Mobile Apps, Retail, Social Media"," Sanjeev Barnwal, Vidit Aatrey", 1001-5000,25
292,Lenskart, Faridabad,2010,10,554629632," Delivery, E-Commerce, Eyewear, Fashion, Health Care, Internet, Shopping"," Amit Chaudhary, Peyush Bansal", 251-500,15
293,Udaan, Bengaluru,2016,6,1179919113," B2B, Business Development, E-Commerce, Internet, Retail"," Amod Malviya, Sujeet Kumar, Vaibhav Gupta", 5001-10000,13
294,Zolve, Bengaluru,2020,1,15000000," Banking, Financial Services", Ravi Gupta, 11-50,9
295,SafexPay, Thane,2017,1,440000000," FinTech, Payments",Zolve, 51-100,2
296,Pariksha, Pune,2015,7,6065079," E-Learning, EdTech, Education, Skill Assessment"," Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat", 51-100,20
297,Fyllo, Bengaluru,2019,4,557033," Agriculture, AgTech, Artificial Intelligence, Internet of Things"," Sachin Gautam, Sudhanshu Rai, Sumit Sheoran", 11-50,6
298,CredFlow, New Delhi,2019,1,152000000," Credit, Financial Services", Kunal Aggarwal, 1-10,4
299,HalaPlay Technologies, Bengaluru,2016,3,7964767," Digital Entertainment, Fantasy Sports, Sports", Swapnil Saurav, 1-10,8
